title,year,rating,runtime,genre
Troll 2,1990,PG-13,95,"Comedy, Fantasy, Horror"
Plan 9 from Outer Space,1957,N/R,79,"Horror, Sci-Fi"
Rat Pfink a Boo Boo,1966,N/R,72,"Comedy, Action, Thriller"
The Beast of Yucca Flats,1961,N/R,54,"Horror, Sci-Fi"
Bad Taste,1987,N/R,91,"Comedy, Horror, Sci-Fi"
Blood Feast,1963,N/R,67,Horror
The Wizard of Gore,1970,N/R,95,Horror
The Room,2003,R,99,Drama
Two Thousand Maniacs!,1964,N/R,83,Horror
Criminally Insane,1975,R,61,"Horror, Thriller"
Greaser's Palace,1972,PG-13,91,"Comedy, Western"
Black Snake,1973,R,82,Thriller
Howard the Duck,1986,PG,110,"Action, Adventure, Comedy, Romance, Sci-Fi"
Tromeo and Juliet,1996,R,107,"Action, Comedy, Drama, Fantasy, Romance"
The Killer Robots and the Battle for the Cosmic Potato,2009,N/R,80,"Comedy, Sci-Fi"
The Toxic Avenger,1984,R,82,"Action, Comedy, Horror, Sci-Fi"
The Toxic Avenger Part II,1989,R,102,"Action, Comedy, Horror, Sci-Fi"
The Toxic Avenger Part III: The Last Temptation of Toxie,1989,R,102,"Action, Comedy, Fantasy, Horror, Sci-Fi"
Citizen Toxie: The Toxic Avenger IV,2000,R,109,"Action, Comedy, Fantasy, Horror, Sci-Fi"
The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies!!?,1964,N/R,82,Horror
Black Samurai,1976,R,88,"Action, Crime"
Ilsa: She Wolf of the SS,1975,R,96,"Drama, Horror, Thriller, War"
The Brain That Wouldn't Die,1962,N/R,82,"Horror, Sci-Fi"
"Silent Night, Deadly Night",1984,R,79,"Horror, Thriller"
Cinderella 2000,1977,R,89,"Musical, Sci-Fi"
Werewolves on Wheels,1971,R,85,Horror
Jack Frost,1997,R,89,"Comedy, Fantasy, Horror"
Killer Klowns from Outer Space,1988,PG-13,88,"Comedy, Horror, Sci-Fi"
Penetration Angst,2003,R,102,"Comedy, Horror"
Sleepaway Camp,1983,R,84,Horror
Evilspeak,1981,R,97,Horror
Trash Humpers,2009,N/R,78,"Comedy, Drama, Horror"
Leprechaun 5: In the Hood,2000,R,90,"Action, Comedy, Fantasy, Horror, Music"
Leprechaun 6: Back 2 Tha Hood,2003,R,87,"Comedy, Fantasy, Horror"
The People Under the Stairs,1991,R,102,"Comedy, Horror, Mystery, Thriller"
They Live,1988,R,94,"Action, Horror, Sci-Fi, Thriller"
Hell Comes to Frogtown,1988,R,86,"Action, Comedy, Sci-Fi"
Frankenhooker,1990,R,85,"Comedy, Horror, Sci-Fi"
1990: The Bronx Warriors,1982,R,92,"Action, Sci-Fi, Thriller"
2019: After the Fall of New York,1983,R,96,"Action, Horror, Sci-Fi"
Endgame,1983,N/R,98,"Action, Sci-Fi, Thriller"
Sex & Fury,1973,R,88,"Action, Crime, Drama, Thriller"
Lady Snowblood,1973,N/R,97,"Action, Drama, Thriller"
Repo Man,1984,R,92,"Action, Comedy, Crime, Sci-Fi, Thriller"
Freejack,1992,R,110,"Action, Crime, Sci-Fi, Thriller"
